file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\CompoundAST.java,jparse.stmt.CompoundAST,computeControl/0,false,93,1,1,0,1,6,6,18,2,6,0,6,0,0,3,1,0,0,0,5,6,0,3,0,0,0,12,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\CompoundAST.java,jparse.stmt.CompoundAST,CompoundAST/1[antlr.Token],true,56,2,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\CompoundAST.java,jparse.stmt.CompoundAST,parseComplete/0,false,64,3,9,5,4,4,7,16,0,4,0,7,0,0,2,1,0,0,0,5,8,3,2,0,0,0,25,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\CompoundAST.java,jparse.stmt.CompoundAST,computeExceptions/0,false,85,2,2,0,2,2,2,5,1,2,0,2,0,0,1,0,0,0,0,1,3,0,1,0,0,0,6,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\TryAST.java,jparse.stmt.TryAST,parseComplete/0,false,73,4,6,0,6,6,10,19,0,3,0,10,0,0,2,3,0,0,0,1,7,0,1,0,0,0,28,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\TryAST.java,jparse.stmt.TryAST,getCatchClauses/0,false,175,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\TryAST.java,jparse.stmt.TryAST,getFinallyClause/0,false,185,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\TryAST.java,jparse.stmt.TryAST,computeExceptions/0,false,100,3,3,0,3,3,3,11,1,2,0,3,0,0,1,1,0,0,0,1,5,0,1,0,0,0,7,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\TryAST.java,jparse.stmt.TryAST,TryAST/1[antlr.Token],true,66,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\TryAST.java,jparse.stmt.TryAST,computeControl/0,false,122,1,1,0,1,6,4,21,1,7,0,4,0,0,4,1,0,0,0,4,9,0,2,0,0,0,13,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\TryAST.java,jparse.stmt.TryAST,getVarList/0,false,147,3,4,0,4,4,2,11,1,3,0,2,0,0,1,1,0,1,0,2,5,0,2,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\TryAST.java,jparse.stmt.TryAST,getTryBlock/0,false,166,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\MethAST.java,jparse.MethAST,computeExceptions/0,false,267,3,3,1,2,3,2,11,1,2,0,2,0,0,1,0,1,0,0,1,3,0,2,0,0,0,33,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\MethAST.java,jparse.MethAST,exactMatch/1[jparse.Method],false,425,3,4,0,4,5,5,16,4,3,1,5,2,1,1,2,0,0,0,1,3,0,2,0,0,0,13,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\MethAST.java,jparse.MethAST,getModifiers/0,false,197,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\MethAST.java,jparse.MethAST,toString/0,false,466,2,7,1,6,6,10,33,1,6,0,10,5,2,2,1,0,0,1,9,6,4,2,0,0,0,20,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\MethAST.java,jparse.MethAST,getDeclaringClass/0,false,176,2,3,2,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
